id;nome;descricao;categoria_id
1;Acústica;Questionário de Acústica;1
2;Calor e Termodinâmica;Questionário de Calor e Termodinâmica;2
3;Capilaridade;Questionário de Capilaridade;3
4;Electromagnetismo;Questionário de Electromagnetismo;4
5;Hidrostática e Hidrodinâmica;Questionário de Hidrostática e Hidrodinâmica;5
6;Mecânica;Questionário de Mecânica;6
7;Óptica;Questionário de Óptica;7
