id;nome;imagem_path;is_figura;legenda;instrumento_id;historia_id
69;ampger05_II;data/images/fotos/electro/13-geral/ampger05_II.jpg;false;null;57;null
70;ampger06;data/images/fotos/electro/13-geral/ampger06.jpg;false;null;58;null
71;ampger07;data/images/fotos/electro/13-geral/ampger07.jpg;false;null;59;null
72;ampger08;data/images/fotos/electro/13-geral/ampger08.jpg;false;null;60;null

74;ampapaagua01;data/images/fotos/hidro/14-aparelhoselevacaodeagua/ampapaagua01.jpg;false;null;61;null
75;ampapaagua02;data/images/fotos/hidro/14-aparelhoselevacaodeagua/ampapaagua02.jpg;false;null;62;null
76;ampapaagua03;data/images/fotos/hidro/14-aparelhoselevacaodeagua/ampapaagua03.jpg;false;null;63;null

77;ampbombagua01;data/images/fotos/hidro/15-bombasdeagua/ampbombagua01.jpg;false;null;64;null
78;ampbombagua02;data/images/fotos/hidro/15-bombasdeagua/ampbombagua02.jpg;false;null;65;null

79;amphidrogeral01;data/images/fotos/hidro/16-geral/amphidrogeral01.jpg;false;null;66;null
80;amphidrogeral02;data/images/fotos/hidro/16-geral/amphidrogeral02.jpg;false;null;67;null
81;amphidrogeral03;data/images/fotos/hidro/16-geral/amphidrogeral03.jpg;false;null;68;null
82;amphidrogeral04;data/images/fotos/hidro/16-geral/amphidrogeral04.jpg;false;null;69;null
83;amphidrogeral05;data/images/fotos/hidro/16-geral/amphidrogeral05.jpg;false;null;70;null
84;amphidrogeral06;data/images/fotos/hidro/16-geral/amphidrogeral06.jpg;false;null;71;null
85;amphidrogeral07;data/images/fotos/hidro/16-geral/amphidrogeral07.jpg;false;null;72;null
86;amphidrogeral08_I;data/images/fotos/hidro/16-geral/amphidrogeral08_I.jpg;false;null;73;null
87;amphidrogeral08_II;data/images/fotos/hidro/16-geral/amphidrogeral08_II.jpg;false;null;73;null
88;amphidrogeral09;data/images/fotos/hidro/16-geral/amphidrogeral09.jpg;false;null;74;null
89;amphidrogeral10;data/images/fotos/hidro/16-geral/amphidrogeral10.jpg;false;null;75;null
90;amphidrogeral11;data/images/fotos/hidro/16-geral/amphidrogeral11.jpg;false;null;76;null
91;amphidrogeral12;data/images/fotos/hidro/16-geral/amphidrogeral12.jpg;false;null;77;null

92;ampapamed01;data/images/fotos/mecanica/17-apa-med/ampapamed01.jpg;false;null;78;null
93;ampapamed02;data/images/fotos/mecanica/17-apa-med/ampapamed02.jpg;false;null;79;null
94;ampapamed03;data/images/fotos/mecanica/17-apa-med/ampapamed03.jpg;false;null;80;null
95;ampapamed04;data/images/fotos/mecanica/17-apa-med/ampapamed04.jpg;false;null;81;null
96;ampapamed05;data/images/fotos/mecanica/17-apa-med/ampapamed05.jpg;false;null;82;null
97;ampapamed06;data/images/fotos/mecanica/17-apa-med/ampapamed06.jpg;false;null;83;null
98;ampapamed07;data/images/fotos/mecanica/17-apa-med/ampapamed07.jpg;false;null;84;null

99;ampbal01;data/images/fotos/mecanica/18-balancas/ampbal01.jpg;false;null;85;null
100;ampbal02;data/images/fotos/mecanica/18-balancas/ampbal02.jpg;false;null;86;null
101;ampbal03_I;data/images/fotos/mecanica/18-balancas/ampbal03_I.jpg;false;null;87;null
102;ampbal03_II;data/images/fotos/mecanica/18-balancas/ampbal03_II.jpg;false;null;87;null
103;ampbal04;data/images/fotos/mecanica/18-balancas/ampbal04.jpg;false;null;88;null
104;ampbal05;data/images/fotos/mecanica/18-balancas/ampbal05.jpg;false;null;89;null
105;ampbal06;data/images/fotos/mecanica/18-balancas/ampbal06.jpg;false;null;90;null
106;ampbal07;data/images/fotos/mecanica/18-balancas/ampbal07.jpg;false;null;91;null

107;ampdina01;data/images/fotos/mecanica/19-dinamometros/ampdina01.jpg;false;null;92;null
108;ampdina02;data/images/fotos/mecanica/19-dinamometros/ampdina02.jpg;false;null;93;null


109;ampmaqsim01;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim01.jpg;false;null;94;null
110;ampmaqsim02;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim02.jpg;false;null;95;null
111;ampmaqsim03;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim03.jpg;false;null;96;null
112;ampmaqsim04;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim04.jpg;false;null;97;null
113;ampmaqsim05;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim05.jpg;false;null;98;null
114;ampmaqsim06;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim06.jpg;false;null;99;null
115;ampmaqsim07;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim07.jpg;false;null;100;null
116;ampmaqsim08;data/images/fotos/mecanica/20-maquina-simples/ampmaqsim08.jpg;false;null;101;null

117;amptor01;data/images/fotos/mecanica/21-torniquetes/amptor01.jpg;false;null;102;null
